"filename", "language", "C++", "comment", "blank", "total"
"d:\code\AutoLangC\src\CompiledProgram.hpp", "C++", 1, 1, 0, 2
"d:\code\AutoLangC\src\CreateNode.cpp", "C++", 2, 0, 0, 2
"d:\code\AutoLangC\src\Debugger.cpp", "C++", 5, 0, 2, 7
"d:\code\AutoLangC\src\Interpreter.cpp", "C++", -1, 0, 1, 0
"d:\code\AutoLangC\src\Lexer.cpp", "C++", 10, 0, 0, 10
"d:\code\AutoLangC\src\Lexer.hpp", "C++", 5, 0, 0, 5
"d:\code\AutoLangC\src\Node.cpp", "C++", 10, 0, 0, 10
"d:\code\AutoLangC\src\Node.hpp", "C++", 1, 0, 0, 1
"d:\code\AutoLangC\src\NodeOptimize.cpp", "C++", 2, 0, 0, 2
"d:\code\AutoLangC\src\ParserContext.hpp", "C++", 14, 0, 0, 14
"d:\code\AutoLangC\src\ankerl\stl.h", "C++", 43, 33, 8, 84
"d:\code\AutoLangC\src\ankerl\unordered_dense.h", "C++", 1740, 152, 348, 2240
"Total", "-", 1832, 186, 359, 2377
