"filename", "language", "C++", "comment", "blank", "total"
"d:\code\AutoLangC\src\AObject.cpp", "C++", 5, 0, 4, 9
"d:\code\AutoLangC\src\AObject.hpp", "C++", 132, 2, 6, 140
"d:\code\AutoLangC\src\AString.hpp", "C++", 78, 0, 14, 92
"d:\code\AutoLangC\src\Autolang.hpp", "C++", 22, 0, 2, 24
"d:\code\AutoLangC\src\CompiledProgram.cpp", "C++", 95, 6, 11, 112
"d:\code\AutoLangC\src\CompiledProgram.hpp", "C++", 59, 1, 8, 68
"d:\code\AutoLangC\src\CreateNode.cpp", "C++", 144, 12, 17, 173
"d:\code\AutoLangC\src\CreateNode.hpp", "C++", 69, 4, 9, 82
"d:\code\AutoLangC\src\Debugger.cpp", "C++", 713, 49, 36, 798
"d:\code\AutoLangC\src\Debugger.hpp", "C++", 69, 1, 11, 81
"d:\code\AutoLangC\src\DebuggerClass.cpp", "C++", 106, 24, 14, 144
"d:\code\AutoLangC\src\DebuggerClass.hpp", "C++", 8, 1, 5, 14
"d:\code\AutoLangC\src\DebuggerDeclaration.cpp", "C++", 159, 35, 9, 203
"d:\code\AutoLangC\src\DebuggerDeclaration.hpp", "C++", 8, 0, 5, 13
"d:\code\AutoLangC\src\DebuggerFunction.cpp", "C++", 105, 4, 6, 115
"d:\code\AutoLangC\src\DebuggerFunction.hpp", "C++", 9, 0, 5, 14
"d:\code\AutoLangC\src\DebuggerLoop.cpp", "C++", 94, 4, 6, 104
"d:\code\AutoLangC\src\DebuggerLoop.hpp", "C++", 9, 0, 5, 14
"d:\code\AutoLangC\src\DefaultClass.cpp", "C++", 39, 0, 7, 46
"d:\code\AutoLangC\src\DefaultClass.hpp", "C++", 20, 0, 6, 26
"d:\code\AutoLangC\src\DefaultFunction.cpp", "C++", 103, 255, 6, 364
"d:\code\AutoLangC\src\DefaultFunction.hpp", "C++", 136, 4, 14, 154
"d:\code\AutoLangC\src\DefaultOperator.hpp", "C++", 305, 0, 21, 326
"d:\code\AutoLangC\src\Interpreter.cpp", "C++", 558, 30, 29, 617
"d:\code\AutoLangC\src\Interpreter.hpp", "C++", 112, 1, 12, 125
"d:\code\AutoLangC\src\Lexer.cpp", "C++", 447, 2, 17, 466
"d:\code\AutoLangC\src\Lexer.hpp", "C++", 175, 7, 23, 205
"d:\code\AutoLangC\src\Node.cpp", "C++", 91, 0, 21, 112
"d:\code\AutoLangC\src\Node.hpp", "C++", 257, 9, 28, 294
"d:\code\AutoLangC\src\NodeOptimize.cpp", "C++", 693, 31, 24, 748
"d:\code\AutoLangC\src\NodeOptimize.hpp", "C++", 6, 0, 6, 12
"d:\code\AutoLangC\src\NodePutBytecode.cpp", "C++", 270, 10, 23, 303
"d:\code\AutoLangC\src\NodePutBytecode.hpp", "C++", 6, 0, 6, 12
"d:\code\AutoLangC\src\OptimizeNode.cpp", "C++", 220, 0, 12, 232
"d:\code\AutoLangC\src\OptimizeNode.hpp", "C++", 25, 0, 7, 32
"d:\code\AutoLangC\src\ParserContext.cpp", "C++", 104, 4, 13, 121
"d:\code\AutoLangC\src\ParserContext.hpp", "C++", 100, 11, 11, 122
"d:\code\AutoLangC\src\StackAllocator.cpp", "C++", 5, 11, 3, 19
"d:\code\AutoLangC\src\StackAllocator.hpp", "C++", 77, 0, 10, 87
"d:\code\AutoLangC\src\Utils.hpp", "C++", 10, 0, 3, 13
"d:\code\AutoLangC\src\ankerl\stl.h", "C++", 43, 33, 8, 84
"d:\code\AutoLangC\src\ankerl\unordered_dense.h", "C++", 1740, 152, 348, 2240
"d:\code\AutoLangC\src\libs\Math.cpp", "C++", 223, 4, 13, 240
"d:\code\AutoLangC\src\libs\Math.hpp", "C++", 23, 0, 4, 27
"d:\code\AutoLangC\src\optimize\FixedPool.hpp", "C++", 38, 0, 3, 41
"d:\code\AutoLangC\src\optimize\NonReallocatePool.hpp", "C++", 44, 0, 4, 48
"Total", "-", 7754, 707, 855, 9316
